FECHA_RESULTADO,AG,PCR,PR
2020-04-05,0,0,4
2020-04-06,0,0,1
2020-04-07,0,2,2
2020-04-08,0,0,5
2020-04-09,0,5,0
2020-04-12,0,7,1
2020-04-14,0,3,5
2020-04-15,0,0,11
2020-04-16,0,0,3
2020-04-17,0,0,1
2020-04-18,0,0,3
2020-04-19,0,0,1
2020-04-20,0,0,3
2020-04-21,0,0,7
2020-04-22,0,0,2
2020-04-23,0,0,2
2020-04-24,0,2,4
2020-04-25,0,2,7
2020-04-26,0,0,8
2020-04-27,0,0,14
2020-04-28,0,1,8
2020-04-29,0,1,13
2020-04-30,0,0,37
2020-05-01,0,0,85
2020-05-02,0,0,50
2020-05-03,0,0,2
2020-05-04,0,0,26
2020-05-05,0,0,12
2020-05-06,0,7,4
2020-05-07,0,0,9
2020-05-08,0,6,14
2020-05-09,0,1,3
2020-05-11,0,0,12
2020-05-12,0,1,10
2020-05-13,0,0,8
2020-05-14,0,0,3
2020-05-15,0,19,4
2020-05-16,0,26,6
2020-05-17,0,0,1
2020-05-18,0,4,16
2020-05-19,0,1,29
2020-05-20,0,0,12
2020-05-21,0,25,29
2020-05-22,0,1,24
2020-05-23,0,1,7
2020-05-24,0,0,5
2020-05-25,0,0,50
2020-05-26,0,0,22
2020-05-27,0,0,19
2020-05-28,0,11,14
2020-05-29,0,2,11
2020-05-30,0,0,14
2020-05-31,0,9,3
2020-06-01,0,0,14
2020-06-02,0,1,13
2020-06-03,0,11,26
2020-06-04,0,1,36
2020-06-05,0,0,50
2020-06-06,0,0,38
2020-06-07,0,0,12
2020-06-08,0,0,58
2020-06-09,0,0,75
2020-06-10,0,0,61
2020-06-11,0,0,44
2020-06-12,0,14,57
2020-06-13,0,11,56
2020-06-14,0,0,16
2020-06-15,0,134,65
2020-06-16,0,0,69
2020-06-17,0,0,62
2020-06-18,0,0,35
2020-06-19,0,0,102
2020-06-20,0,0,47
2020-06-21,0,0,13
2020-06-22,0,0,47
2020-06-23,0,2,44
2020-06-24,0,127,47
2020-06-25,0,22,37
2020-06-26,0,0,52
2020-06-27,0,0,55
2020-06-28,0,8,20
2020-06-29,0,0,29
2020-06-30,0,0,113
2020-07-01,0,0,91
2020-07-02,0,0,99
2020-07-03,0,93,148
2020-07-04,0,0,84
2020-07-05,0,0,23
2020-07-06,0,0,146
2020-07-07,0,53,82
2020-07-08,0,15,106
2020-07-09,0,0,70
2020-07-10,0,0,80
2020-07-11,0,2,90
2020-07-12,0,0,90
2020-07-13,0,0,86
2020-07-14,0,0,119
2020-07-15,0,28,57
2020-07-16,0,7,109
2020-07-17,0,116,216
2020-07-18,0,1,156
2020-07-19,0,0,49
2020-07-20,0,0,148
2020-07-21,0,0,117
2020-07-22,0,0,168
2020-07-23,0,0,216
2020-07-24,0,32,292
2020-07-25,0,0,215
2020-07-26,0,0,49
2020-07-27,0,0,194
2020-07-28,0,0,63
2020-07-29,0,4,142
2020-07-30,0,0,142
2020-07-31,0,13,161
2020-08-01,0,92,170
2020-08-02,0,0,54
2020-08-03,0,0,155
2020-08-04,0,0,197
2020-08-05,0,0,165
2020-08-06,0,43,187
2020-08-07,0,0,166
2020-08-08,0,0,143
2020-08-09,0,1,25
2020-08-10,0,0,230
