FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-17,0,1
2020-03-21,0,1
2020-03-24,0,1
2020-03-26,1,0
2020-03-27,1,0
2020-03-29,1,0
2020-03-30,1,2
2020-04-02,0,1
2020-04-03,0,1
2020-04-04,1,4
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,0,1
2020-04-10,2,1
2020-04-11,0,2
2020-04-15,2,1
2020-04-16,1,4
2020-04-17,2,3
2020-04-18,1,4
2020-04-19,2,8
2020-04-20,4,3
2020-04-21,0,4
2020-04-22,2,7
2020-04-23,4,6
2020-04-24,5,10
2020-04-25,11,10
2020-04-26,7,11
2020-04-27,2,11
2020-04-28,10,12
2020-04-29,10,17
2020-04-30,8,21
2020-05-01,10,23
2020-05-02,9,15
2020-05-03,9,17
2020-05-04,7,17
2020-05-05,4,14
2020-05-06,7,12
2020-05-07,7,19
2020-05-08,5,17
2020-05-09,7,15
2020-05-10,9,18
2020-05-11,2,24
2020-05-12,9,18
2020-05-13,7,10
2020-05-14,10,10
2020-05-15,6,7
2020-05-16,5,15
2020-05-17,8,24
2020-05-18,8,16
2020-05-19,6,22
2020-05-20,4,8
2020-05-21,4,10
2020-05-22,5,8
2020-05-23,3,14
2020-05-24,2,4
2020-05-25,0,9
2020-05-26,5,7
2020-05-27,2,6
2020-05-28,8,6
2020-05-29,2,6
2020-05-30,1,5
2020-05-31,2,6
2020-06-01,2,7
2020-06-02,2,3
2020-06-03,3,1
2020-06-04,2,10
2020-06-05,5,10
2020-06-06,2,5
2020-06-07,6,5
2020-06-08,2,8
2020-06-09,2,3
2020-06-10,2,9
2020-06-11,2,9
2020-06-12,1,1
2020-06-13,9,7
2020-06-14,1,2
2020-06-15,0,7
2020-06-16,2,7
2020-06-17,6,10
2020-06-18,1,4
2020-06-19,7,2
2020-06-20,2,4
2020-06-21,2,3
2020-06-22,1,4
2020-06-23,2,6
2020-06-24,1,1
2020-06-25,1,6
2020-06-26,3,6
2020-06-27,1,6
2020-06-28,2,6
2020-06-29,1,1
2020-06-30,1,5
2020-07-01,4,4
2020-07-02,1,6
2020-07-03,2,2
2020-07-04,0,1
2020-07-05,0,8
2020-07-06,3,0
2020-07-07,0,4
2020-07-08,1,4
2020-07-09,2,1
2020-07-10,2,2
2020-07-11,1,3
2020-07-12,5,6
2020-07-13,4,3
2020-07-14,1,2
2020-07-15,0,4
2020-07-16,3,3
2020-07-17,3,4
2020-07-18,2,4
2020-07-19,5,2
2020-07-20,4,5
2020-07-21,2,6
2020-07-22,2,4
2020-07-23,0,2
2020-07-24,0,2
2020-07-25,2,4
2020-07-26,3,3
2020-07-27,5,8
2020-07-28,1,5
2020-07-29,3,7
2020-07-30,3,1
2020-07-31,2,2
2020-08-01,1,4
2020-08-02,1,3
2020-08-03,0,4
2020-08-04,1,3
2020-08-05,2,6
2020-08-06,0,3
2020-08-07,1,2
2020-08-08,1,3
2020-08-09,0,2
2020-08-10,1,3
2020-08-11,0,1
2020-08-12,2,4
2020-08-13,5,1
2020-08-14,0,1
2020-08-15,5,2
2020-08-16,4,2
2020-08-17,5,9
2020-08-18,0,4
2020-08-19,1,1
2020-08-20,3,2
2020-08-21,1,4
2020-08-22,1,2
2020-08-23,4,1
2020-08-24,1,3
2020-08-25,1,3
2020-08-26,1,2
2020-08-27,2,0
2020-08-28,2,4
2020-08-29,5,2
2020-08-30,2,2
2020-08-31,5,4
2020-09-01,1,4
2020-09-02,1,2
2020-09-03,1,1
2020-09-04,4,0
2020-09-05,2,4
2020-09-06,3,3
2020-09-07,1,3
2020-09-08,0,3
2020-09-09,1,0
2020-09-10,3,3
2020-09-11,2,1
2020-09-12,2,0
